@0,|,C,64,64,64,|,S,1,64,64,|,R,3,64,64,|,S,4,64,64,|,R,12,64,64,|,C,64,64,64,|,S,1,64,64,|,R,3,64,64,|,S,4,64,64,|,R,12,64,64,|,C,64,64,64,|,S,1,64,64,|,R,3,64,64,|,S,4,64,64,|,R,12,64,64,|,C,64,64,64
@1,|,C,64,64,64,|,R,0,64,64,|,S,2,64,64,|,S,5,64,64,|,R,13,64,64,|,C,64,64,64,|,R,0,64,64,|,S,2,64,64,|,S,5,64,64,|,R,13,64,64,|,C,64,64,64,|,R,0,64,64,|,S,2,64,64,|,S,5,64,64,|,R,13,64,64,|,C,64,64,64
@2,|,C,64,64,64,|,S,3,64,64,|,R,1,64,64,|,S,6,64,64,|,R,14,64,64,|,C,64,64,64,|,S,3,64,64,|,R,1,64,64,|,S,6,64,64,|,R,14,64,64,|,C,64,64,64,|,S,3,64,64,|,R,1,64,64,|,S,6,64,64,|,R,14,64,64,|,C,64,64,64
@3,|,C,64,64,64,|,R,2,64,64,|,S,0,64,64,|,S,7,64,64,|,R,15,64,64,|,C,64,64,64,|,R,2,64,64,|,S,0,64,64,|,S,7,64,64,|,R,15,64,64,|,C,64,64,64,|,R,2,64,64,|,S,0,64,64,|,S,7,64,64,|,R,15,64,64,|,C,64,64,64
@4,|,C,64,64,64,|,S,5,64,64,|,R,7,64,64,|,R,0,64,64,|,S,8,64,64,|,C,64,64,64,|,S,5,64,64,|,R,7,64,64,|,R,0,64,64,|,S,8,64,64,|,C,64,64,64,|,S,5,64,64,|,R,7,64,64,|,R,0,64,64,|,S,8,64,64,|,C,64,64,64
@5,|,C,64,64,64,|,R,4,64,64,|,S,6,64,64,|,R,1,64,64,|,S,9,64,64,|,C,64,64,64,|,R,4,64,64,|,S,6,64,64,|,R,1,64,64,|,S,9,64,64,|,C,64,64,64,|,R,4,64,64,|,S,6,64,64,|,R,1,64,64,|,S,9,64,64,|,C,64,64,64
@6,|,C,64,64,64,|,S,7,64,64,|,R,5,64,64,|,R,2,64,64,|,S,10,64,64,|,C,64,64,64,|,S,7,64,64,|,R,5,64,64,|,R,2,64,64,|,S,10,64,64,|,C,64,64,64,|,S,7,64,64,|,R,5,64,64,|,R,2,64,64,|,S,10,64,64,|,C,64,64,64
@7,|,C,64,64,64,|,R,6,64,64,|,S,4,64,64,|,R,3,64,64,|,S,11,64,64,|,C,64,64,64,|,R,6,64,64,|,S,4,64,64,|,R,3,64,64,|,S,11,64,64,|,C,64,64,64,|,R,6,64,64,|,S,4,64,64,|,R,3,64,64,|,S,11,64,64,|,C,64,64,64
@8,|,C,64,64,64,|,S,9,64,64,|,R,11,64,64,|,S,12,64,64,|,R,4,64,64,|,C,64,64,64,|,S,9,64,64,|,R,11,64,64,|,S,12,64,64,|,R,4,64,64,|,C,64,64,64,|,S,9,64,64,|,R,11,64,64,|,S,12,64,64,|,R,4,64,64,|,C,64,64,64
@9,|,C,64,64,64,|,R,8,64,64,|,S,10,64,64,|,S,13,64,64,|,R,5,64,64,|,C,64,64,64,|,R,8,64,64,|,S,10,64,64,|,S,13,64,64,|,R,5,64,64,|,C,64,64,64,|,R,8,64,64,|,S,10,64,64,|,S,13,64,64,|,R,5,64,64,|,C,64,64,64
@10,|,C,64,64,64,|,S,11,64,64,|,R,9,64,64,|,S,14,64,64,|,R,6,64,64,|,C,64,64,64,|,S,11,64,64,|,R,9,64,64,|,S,14,64,64,|,R,6,64,64,|,C,64,64,64,|,S,11,64,64,|,R,9,64,64,|,S,14,64,64,|,R,6,64,64,|,C,64,64,64
@11,|,C,64,64,64,|,R,10,64,64,|,S,8,64,64,|,S,15,64,64,|,R,7,64,64,|,C,64,64,64,|,R,10,64,64,|,S,8,64,64,|,S,15,64,64,|,R,7,64,64,|,C,64,64,64,|,R,10,64,64,|,S,8,64,64,|,S,15,64,64,|,R,7,64,64,|,C,64,64,64
@12,|,C,64,64,64,|,S,13,64,64,|,R,15,64,64,|,R,8,64,64,|,S,0,64,64,|,C,64,64,64,|,S,13,64,64,|,R,15,64,64,|,R,8,64,64,|,S,0,64,64,|,C,64,64,64,|,S,13,64,64,|,R,15,64,64,|,R,8,64,64,|,S,0,64,64,|,C,64,64,64
@13,|,C,64,64,64,|,R,12,64,64,|,S,14,64,64,|,R,9,64,64,|,S,1,64,64,|,C,64,64,64,|,R,12,64,64,|,S,14,64,64,|,R,9,64,64,|,S,1,64,64,|,C,64,64,64,|,R,12,64,64,|,S,14,64,64,|,R,9,64,64,|,S,1,64,64,|,C,64,64,64
@14,|,C,64,64,64,|,S,15,64,64,|,R,13,64,64,|,R,10,64,64,|,S,2,64,64,|,C,64,64,64,|,S,15,64,64,|,R,13,64,64,|,R,10,64,64,|,S,2,64,64,|,C,64,64,64,|,S,15,64,64,|,R,13,64,64,|,R,10,64,64,|,S,2,64,64,|,C,64,64,64
@15,|,C,64,64,64,|,R,14,64,64,|,S,12,64,64,|,R,11,64,64,|,S,3,64,64,|,C,64,64,64,|,R,14,64,64,|,S,12,64,64,|,R,11,64,64,|,S,3,64,64,|,C,64,64,64,|,R,14,64,64,|,S,12,64,64,|,R,11,64,64,|,S,3,64,64,|,C,64,64,64
